threshold,TP,FP,FN,TN
2,0,0,2969,7031
4,806,1,2163,7030
6,1314,2,1654,7030
8,1344,3,1623,7030
10,1355,3,1612,7030
12,1357,3,1610,7030
14,1359,3,1608,7030
16,1362,4,1605,7029
18,1362,4,1605,7029
20,1363,30,1604,7003
22,1364,31,1603,7002
24,1365,33,1602,7000
26,1367,33,1600,7000
28,1369,32,1598,7001
30,1370,33,1596,7001
32,1376,33,1590,7001
34,1386,34,1580,7000
36,1407,34,1559,7000
38,1471,35,1495,6999
40,1711,38,1254,6997
42,2079,40,886,6995
44,2239,41,726,6994
46,2282,46,680,6992
48,2331,51,629,6989
50,2385,52,576,6987
52,2461,56,497,6986
54,2609,65,343,6983
56,2663,77,282,6978
58,2637,103,296,6964
60,2620,123,311,6946
62,2612,139,314,6935
64,2610,152,315,6923
66,2611,168,314,6907
68,2606,184,314,6896
70,2618,200,309,6873
72,2629,222,301,6848
74,2634,253,296,6817
76,2631,287,295,6787
78,2629,328,292,6751
80,2626,363,292,6719
82,2624,403,291,6682
84,2623,448,291,6638
86,2619,500,292,6589
88,2611,544,290,6555
90,2613,592,290,6505
92,2612,647,290,6451
94,2604,712,287,6397
96,2598,755,286,6361
98,2596,827,282,6295
100,2594,871,279,6256
102,2584,914,280,6222
104,2579,963,277,6181
106,2576,1017,277,6130
108,2569,1079,275,6077
110,2556,1142,276,6026
112,2555,1196,275,5974
114,2546,1250,277,5927
116,2544,1309,277,5870
118,2537,1352,276,5835
120,2533,1398,275,5794
122,2532,1436,274,5758
124,2522,1474,275,5729
126,2523,1514,274,5689
128,2516,1538,275,5671
130,2505,1569,275,5651
132,2504,1587,277,5632
134,2499,1620,275,5606
136,2499,1648,275,5578
138,2496,1666,274,5564
140,2492,1689,274,5545
142,2491,1714,273,5522
144,2489,1737,273,5501
146,2494,1754,272,5480
148,2495,1761,272,5472
