threshold,TP,FP,FN,TN
2,328,0,2641,7031
4,887,1,2082,7030
6,1160,1,1809,7030
8,1271,1,1698,7030
10,1308,2,1660,7030
12,1332,2,1636,7030
14,1344,2,1624,7030
16,1352,2,1616,7030
18,1353,2,1615,7030
20,1359,2,1609,7030
22,1360,2,1608,7030
24,1362,2,1606,7030
26,1362,2,1606,7030
28,1363,3,1605,7029
30,1364,30,1604,7002
32,1365,32,1603,7000
34,1365,32,1603,7000
36,1366,32,1602,7000
38,1367,32,1601,7000
40,1370,33,1597,7000
42,1373,34,1594,6999
44,1377,35,1590,6998
46,1382,35,1585,6998
48,1402,35,1565,6998
50,1494,35,1473,6998
52,1789,36,1178,6997
54,2120,39,845,6996
56,2241,41,724,6994
58,2270,40,696,6994
60,2281,45,684,6990
62,2283,48,681,6988
64,2283,49,681,6987
66,2296,51,668,6985
68,2325,57,637,6981
70,2382,60,580,6978
72,2490,63,471,6976
74,2639,77,317,6967
76,2687,89,267,6957
78,2670,114,274,6942
80,2620,151,311,6918
82,2609,163,319,6909
84,2603,190,318,6889
86,2599,211,319,6871
88,2597,234,317,6852
90,2598,262,313,6827
92,2599,292,312,6797
94,2604,317,307,6772
96,2613,351,299,6737
98,2618,392,297,6693
100,2616,444,297,6643
102,2611,488,297,6604
104,2612,542,293,6553
106,2606,599,294,6501
108,2606,653,294,6447
110,2603,699,292,6406
112,2606,741,291,6362
114,2604,784,290,6322
116,2598,826,284,6292
118,2593,872,283,6252
120,2590,929,282,6199
122,2582,976,282,6160
124,2577,1025,280,6118
126,2569,1080,280,6071
128,2564,1123,280,6033
130,2552,1172,279,5997
132,2554,1218,278,5950
134,2543,1281,278,5898
136,2537,1333,278,5852
138,2533,1392,277,5798
140,2526,1420,277,5777
142,2523,1476,277,5724
144,2515,1501,276,5708
146,2514,1522,277,5687
148,2502,1547,278,5673
