Wall time,Step,Value
1670121302.9674747,0,7.830563545227051
1670124413.9272995,1,6.258785247802734
1670127521.7334814,2,5.886196613311768
1670130629.3598137,3,5.67832612991333
1670133828.8731422,4,4.779857635498047
1670136939.6856356,5,4.663033962249756
1670140052.6878803,6,4.829285621643066
1670143161.7306962,7,4.238523483276367
1670146270.737202,8,4.176451206207275
1670149382.4611473,9,4.204250335693359
1670209331.9871454,10,3.8795289993286133
1670212437.4771976,11,3.9151244163513184
1670215541.4833274,12,3.8696208000183105
1670218646.4244385,13,3.6413440704345703
1670221849.9622521,14,4.42326545715332
1670224953.483195,15,5.155046463012695
1670228060.3418615,16,3.7900590896606445
1670231166.5848548,17,3.070925712585449
1670234276.848337,18,3.049553632736206
1670237390.9278426,19,3.0591554641723633
1670296328.7771122,20,2.942582368850708
1670299452.2188885,21,2.9395089149475098
1670302573.320943,22,2.9782309532165527
1670305695.2718556,23,2.958059787750244
1670308923.3701696,24,3.011364221572876
1670312052.1715167,25,2.8165383338928223
1670315177.8819346,26,2.80678129196167
1670318304.6710396,27,2.7845633029937744
1670321427.751148,28,2.7945568561553955
1670324552.2473009,29,2.764206647872925
1671582793.4577923,30,2.751920223236084
1671585905.252965,31,2.7476091384887695
1671589012.7717729,32,2.7558655738830566
1671592123.8575058,33,2.747296094894409
1671595329.7834086,34,2.7456605434417725
1671598438.5269706,35,2.741720676422119
1671601548.954939,36,2.741208076477051
1671604658.8620124,37,2.736637830734253
1671607768.5922987,38,2.746885299682617
1671610878.3169792,39,2.7364096641540527
